DD HH:MM,Previsão,Medição
15/05/2024 09:00,0.10,2.46
15/05/2024 09:05,,2.43
15/05/2024 09:10,,2.41
15/05/2024 09:15,,2.41
15/05/2024 09:20,,2.41
15/05/2024 09:25,,2.42
15/05/2024 09:30,,2.4400000000000004
15/05/2024 09:40,,2.41
15/05/2024 09:50,,2.41
15/05/2024 09:55,,2.41
15/05/2024 10:00,0.03,2.41
15/05/2024 10:15,0.03,2.46
15/05/2024 10:20,,2.45
15/05/2024 10:25,,2.4400000000000004
15/05/2024 10:30,,2.45
15/05/2024 10:35,,2.4400000000000004
15/05/2024 10:40,,2.45
15/05/2024 10:45,,2.47
15/05/2024 10:50,,2.4400000000000004
15/05/2024 10:55,,2.47
15/05/2024 11:00,0.02,2.47
15/05/2024 11:05,0.02,2.4800000000000004
15/05/2024 11:10,0.02,2.5
15/05/2024 11:15,,2.5
15/05/2024 11:20,,2.47
15/05/2024 11:25,,2.5300000000000002
15/05/2024 11:30,,2.5300000000000002
15/05/2024 11:45,,2.56
15/05/2024 11:50,,2.5700000000000003
15/05/2024 11:55,,2.5700000000000003
15/05/2024 12:00,0.06,2.56
15/05/2024 12:05,0.06,2.59
15/05/2024 12:10,0.06,2.59
15/05/2024 12:20,0.06,2.6
15/05/2024 12:25,,2.63
15/05/2024 12:30,,2.63
15/05/2024 12:35,,2.63
15/05/2024 12:40,,2.64
15/05/2024 12:45,,2.6500000000000004
15/05/2024 12:50,,2.63
15/05/2024 12:55,,2.64
15/05/2024 13:00,0.12,2.6500000000000004
15/05/2024 13:05,0.12,2.63
15/05/2024 13:10,0.12,2.64
15/05/2024 13:15,0.12,2.66
15/05/2024 13:20,,2.66
15/05/2024 13:25,,2.67
15/05/2024 13:30,,2.6500000000000004
15/05/2024 13:35,,2.66
15/05/2024 13:40,,2.66
15/05/2024 13:45,,2.6500000000000004
15/05/2024 13:50,,2.67
15/05/2024 13:55,,2.66
15/05/2024 14:00,0.14,2.6500000000000004
15/05/2024 14:05,0.14,2.6500000000000004
15/05/2024 14:10,0.14,2.63
15/05/2024 14:15,0.14,2.62
15/05/2024 14:20,,2.6500000000000004
15/05/2024 14:25,,2.64
15/05/2024 14:30,,2.63
15/05/2024 14:35,,2.6500000000000004
15/05/2024 14:40,,2.66
15/05/2024 14:45,,2.6500000000000004
15/05/2024 14:50,,2.6500000000000004
